name,number,description,category
Allium Collection,3616-01,"Providing perfect accent as an ottoman or cocktail table, the Allium Collection will be an elegant addition to your home. The fully upholstered square piece is covered in a neutral gray fabric and features nailhead accent as well as button tufting, creating a tailored profile. Casters allow for ease of movement within your space for perfect placement.",occasional
Abertram Collection,3617-30,"Providing perfect accent as an ottoman or cocktail table, the Abertram Collection will be an elegant addition to your home. The fully upholstered rectangular piece is covered in a neutral beige fabric and features nailhead accent as well as button tufting, creating a tailored profile. Casters allow for ease of movement within your space for perfect placement.",occasional
Barbary Collection,3618-30,"The profile and accenting of the Barbary Collection reflects your taste for traditional style. Elegant appointments such as medallion accent, quadrant book-match veneer and traditional cherry finish, lend to the classic design of your living room. Drawers create convenient, functional storage within the space.",occasional
s Collection,3619-31,Dark metal framing provides support to the plank style top of the Damsel Collection. A dark burnish finish serves to highlight the elm veneer of the table’s tops in this 3-piece occasional set. Angled legs lend sturdy support and give nod to the rustic industrial styling that inspired the design.,occasional
Perivale Collection,3623-31,"Geometric inspired lines provide support to the printed faux marble tops of the Perivale Collection. Silver legs are angled for support and visual interest, providing stark contrast to the round black faux marble. The collection is offered as a 3-piece set for convenient placement within your home.",occasional
Berlin Collection,4087-30,"Styled for placement in transitional to contemporary settings, the Berlin Collection will be the perfect addition to your casual living space. The X-framing of the table bases and sides lend a distinctly clean look to the design of this occasional offering. Glass tabletop inserts rest atop the black finished frames.",occasional
Cleo Collection,4500-F1,"Providing a stylish accent for your home décor is the Cleo Collection. Round, with a removable lid that features button tufted accenting, and supported by slightly flared legs, this small accent piece makes a big statement whether you’re using it for additional seating, as a footstool or storage piece. The ottoman is offered in three versatile, trend-forward colors – yellow print, blue and beige.",occasional
Cleo Collection,4500-F2,"Providing a stylish accent for your home décor is the Cleo Collection. Round, with a removable lid that features button tufted accenting, and supported by slightly flared legs, this small accent piece makes a big statement whether you’re using it for additional seating, as a footstool or storage piece. The ottoman is offered in three versatile, trend-forward colors – yellow print, blue and beige.",occasional
Cleo Collection,4500-F3,"Providing a stylish accent for your home décor is the Cleo Collection. Round, with a removable lid that features button tufted accenting, and supported by slightly flared legs, this small accent piece makes a big statement whether you’re using it for additional seating, as a footstool or storage piece. The ottoman is offered in three versatile, trend-forward colors – yellow print, blue and beige.",occasional
Tala Collection,4501-F1,"A bold statement for any room the Tala Collection provides function and style for your living space. Offered in dark blue and brown, each piece is boldly accented with a white quatrefoil pattern. The attached lift top allows for discrete storage space within your home.",occasional
Tala Collection,4501-F2,"",occasional
Qirin Collection,4502FA,"Designed with a traditional touch and a nod towards modern classicism, the Qirin Collection accent bench is a gorgeous option for your home. A sturdy metal frame design is supported with subtle distressed white finish covers the turned legs and is elegantly accented by the bluish gray, button-tufted seat.",occasional
Baine Collection,4503PU,"Providing a multifunctional addition to your casual living space is the Baine Collection. Contemporary in styling, this lift-top ottoman features lower drawer storage and black bi-cast vinyl covering with contrast stitching.",occasional
Nestor Collection,4506PU,"Mottled coloring provides realistic enhancement to the alligator embossed bi-cast vinyl seat of the Nestor Collection. Supported by a chrome base, this modern accent bench is a glamorous addition to your home’s décor.",occasional
Destry Collection,4507-F1,"With a base that lends to a modern look and seat that has design roots that lean towards a more traditional styling, the Destry Collection will be a versatile choice for your home. The continuous frame of the black metal base supports the button tufted fabric seat. Offered in dark gray and beige for the perfect pairing to your home d閏or.",occasional
Destry Collection,4507-F2,"",occasional
Kennelly Collection,4510BRW,"Opening to reveal additional seating, the Kennelly Collection is a fun and functional accent for your home. The larger nesting accent ottoman provides additional storage when the smaller ottoman is removed. Offered in brown, blue, mustard and red, the larger ottoman is encircled by high-polish nail head accenting for added stylistic drama.",occasional
Jaunt Collection,4555BU,"Luxurious, decadent, glamorous – a lifestyle of decorative extravagance is within reach with the Jaunt Collection. Velvet fabric is tufted with dramatic flair at the center of the round ottoman, punctuated with an eye-catching over-sized button. Offered in navy, blue and gray for perfect placement within your personal decorative scheme. Casters allow for quick and easy movement around your space.",occasional
Jaunt Collection,4555GY,"",occasional
Jaunt Collection,4555NV,"",occasional
Vega Collection,458B-PU,The cocktail ottoman with storage trunk of the Vega Collection offers an inventive way to store your assorted odds and ends out of the way but still within reach. The fully upholstered ottomans feature removable tops that open up to a finished interior perfect for storage while the removable top also functions as a tray.,occasional
Vega Collection,459B-PU,The cocktail ottoman with storage trunk of the Vega Collection offers an inventive way to store your assorted odds and ends out of the way but still within reach. The fully upholstered ottomans feature removable tops that open up to a finished interior perfect for storage while the removable top also functions as a tray.,occasional
Reverie Collection,4602PU,"Adding a touch of glamour to your home is the Reverie Collection. Black bi-cast vinyl covers this stylish ottoman. The attached top opens to reveal ample storage space. Polished nailhead accent trim encircles the base of the unit, providing a sophisticated touch.",occasional
Rory Collection,4605BK,"",occasional
Rory Collection,4605GY,"In looking for an accent piece for your home, your desire style and functionality – the Rory Collection delivers on both counts. Offered in black bonded leather and gray linen fabric this decorative bench features button tufting and a continuous X-frame design. The padded seat, along with a clean design, provides the perfect spot for a moments rest.",occasional
Wichfield Collection,4611PU,"The Wichfield Collection provides a multi-functional option for your casual living space. Utilized as seating, storage ottoman or cocktail table, the unit’s lift-top function opens to reveal modest storage space, while the padded dark brown bi-cast vinyl-covered top provides comfort in those times that additional seating space is needed. Further enhancing the function of this piece is the wood display shelf that is finished in warm brown cherry.",occasional
Fedora Collection,4614-F1,Providing a stylish and function addition to your home is the Fedora Collection. Designed for placement in a number of settings the top opens to reveal ample storage for your personal items. The ottoman is offered in the neutral tones of gray or brown for further decorative flexibility.,occasional
Fedora Collection,4614-F3,"",occasional
Xaria Collection,4617-30,"Asymmetrically patterned for the most modern homes, light finished metal framing provides complimenting accent to the wood veneer of the Xaria Collection. Modern design is achieved in each piece with open-concept off-set display and clean lines. The sofa table can also serve as entertainment console by adding the etagere expanding to a full wall unit to organize and display all your media components.",occasional
Kaitlyn Collection,468CP,Functional cocktail ottoman with casters features storage and seating that reverse to reveal up to four individual serving trays.,occasional
Kaitlyn Collection,468MC,Functional cocktail ottoman with casters features storage and seating that reverse to reveal up to four individual serving trays.,occasional
Kaitlyn Collection,468PU,"",occasional
Recife Collection,4690-F2,"From the boudoir to the parlor, the Recife Collection adds a touch of glamour anywhere it goes. This fully upholstered accent ottoman is offered in the chic hues of indigo, beige, and dark gray – all featuring nail head accent that trims the profile of the seat base and X-leg supports.",occasional
Bingsley Collection,4692-13,Danish mid-century modern design is infused in the style platform of the Bingsley Collection decorative ottoman bench that also served as additional seating. Wood framing features the expected delicate tapering of the legs classic to this style and provides an elegant contrast to the dark gray tone of the button-tufted fabric seat.,occasional
Claire Collection,469PU,This functional two-seat storage ottoman reverses to reveal two individual serving trays and two cleverly stored stools. Covered in dark brown bi-cast vinyl.,occasional
Claire Collection,470PU,Functional cocktail ottoman features seating that reverses to reveal four individual serving trays and four cleverly stored stools.,occasional
Clair Collection,471FA-1S,"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or floral fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",occasional
Clair Collection,471LP,"",occasional
Clair Collection,471NF,"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or floral fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",occasional
Clair Collection,471PPE,"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or floral fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",occasional
Clair Collection,471PU,"",occasional
Clair Collection,471RED,"",occasional
Clair Collection,471TPE,"As in many homes, the need for functional storage is great. The Clair Collection offers not only the function of storage, but seating as well. The unit is covered in a rich chocolate corduroy, leopard print, or floral fabric and is also available in dark brown, red, taupe or purple bi-cast vinyl that features baseball stitching.",occasional
Ladd Collection,4723BK,"Bi-cast vinyl storage cube ottoman opens to reveal a smaller ottoman inside. Available in green, red, orange, black, brown, blue and white.",occasional
Synergy Collection,4727PU,"The need for additional storage space in your modern home will be met with the Synergy Collection. The two segments of this ottoman serve equally as storage space, yet two different functional tops define each of their roles. With the first section, an airlift mechanism lifts the seat to reveal storage below. The second section is a fully extended lift top that not only reveals storage space, but will bring the seat top towards you for those times when you need an extra table surface. This padded ottoman is covered in dark brown bi-cast vinyl with white contrast stitching.",occasional
Elwell Collection,4728AK,The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,occasional
Elwell Collection,4728BK,"",occasional
Elwell Collection,4728ES,"",occasional
Afton Collection,4730NF,"",occasional
Afton Collection,4730PPE,"Providing stylish storage space in your home is the Afton Collection. The button-tufted lift-top storage ottoman is offered in a cream fabric and bi-cast vinyl options in dark brown, purple, red and taupe. Turned legs support this lovely accent piece.",occasional
Afton Collection,4730PU,"Providing stylish storage space in your home is the Afton Collection. The button-tufted lift-top storage ottoman is offered in a cream fabric and bi-cast vinyl options in dark brown, purple, red and taupe. Turned legs support this lovely accent piece.",occasional
Afton Collection,4730RED,"",occasional
Afton Collection,4730TPE,"Providing stylish storage space in your home is the Afton Collection. The button-tufted lift-top storage ottoman is offered in a cream fabric and bi-cast vinyl options in dark brown, purple, red and taupe. Turned legs support this lovely accent piece.",occasional
Fleming Collection,4732PU,"Moving through your living space with the greatest of ease is the Fleming Collection. Situated on casters, the multi-functional ottoman features display storage and defined quad seating that, when turned over, can be used as serving trays.",occasional
Blasey Collection,4738PU,"Convenient, stylish storage space will be added to your home with the dark brown bi-cast vinyl upholstered Blasey Collection. When turned over, the comfortable ottoman bench seating reveals a functional service tray and removable seating cubes.",occasional
Colusa Collection,4741FA,"Additional storage space is always welcome in any home. The Colusa Collection will provide you with the extra room you need to store your personal items. Covered in a neutral gray fabric, this transitionally designed ottoman will place perfectly in a number of home decors. Button tufting lends a stylish touch to the piece.",occasional
Staunton Collection,4742PU,"Transitionally styled to accent a number of home decors and covered in dark brown bi-cast vinyl, the Staunton Collection provides the additional storage and seating space that your home requires. Metal riveted accents grace each corner of the unit and wood legs provide support. The lift-top of the ottoman opens to reveal storage space.",occasional
Luella Collection,5100-30,"At home in a number of decorative styles, the Luella Collection will be the perfect match for your living space. Zinc table tops are supported by X-frame bases in this occasional table offering. A cool weathered oak finish serves as the perfect contrast to the natural gray tone of the zinc tables.",occasional
Beaugrand Collection,5177-30,"With leaning towards the styles of industrial, contemporary and transitional, the Beaugrand Collection will be an appropriate choice for a number of living room decors. The sofa table, end table, and cocktail table feature decorative metal banding and are supported by a modified X-base pedestal.",occasional
Reid Collection,5267RF-30,"A classic look for your traditional home, the Reid Collection offers an updated country style that will be a warm and inviting addition to your living room. A cherry finish graces the wood veneer of the group. Each table in the collection supported by substantially appointed turned legs while functional drawers on each piece and casters on the cocktail table provide for storage and convenient movement.",occasional
Schleiger Collection,5400-30,"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting for your living room. Sturdy legs support the metal and rivet banded table tops of the cocktail table, sofa table and end table.",occasional
Sedley Collection,5415RF-30,"Whether your home leans to transitional or contemporary design, the Sedley Collection will be the perfect fit for your living room needs. From the distinct walnut veneer pattern to the unique framing of the cocktail table and end table, each design component lends to placement in a variety of home settings. The dark metal horizontal hardware and metal support framing complements the finish of the group while providing distinct contrast. Drawer storage lends additional functionality to the collection. The collection also features bedroom, dining, home entertainment and office options.",occasional
Sedley Collection,5415RF-FBH,"Whether your home leans to transitional or contemporary design, the Sedley Collection will be the perfect accent for your home. From the distinct walnut veneer pattern – with walnut finish - to the unique cut-away design, each design component of the storage bench lends to placement in a variety of spaces. The seat lifts to reveal ample storage space. The dark brown tone of the padded fabric seat compliments the finish of the group. The Sedley Collection is also available in bedroom, dining, occasional and home office.",occasional
Anna Claire Collection,5428-30,"Creating a unique style that blends femininity with gracefully weathered industrial accenting, the Anna Claire Collection provides an unexpectedly elegant addition to a number of living spaces. A driftwood finish covers the wood of the bases that support the rusticated zinc tabletops. Nail head accent table banding adds to the creative look of the collection.",occasional
Miami Collection,5430-30,Ultra-modern styling is achieved in the design of the Miami Collection. High gloss dark gray tabletops feature chrome legs that exemplify the tenants of contemporary interior design.,occasional
Toulon Collection,5438-30,Bold curves provide elegant contrast to the unique look of the Toulon Collection. The heavily scrolled base supports of the tables feature French provincial inspired routing while wire-brushed distressing provides texture to the acacia veneer of this elegant occasional collection.,occasional
Festus Collection,5466-30,"Offered for your living room is the Festus Collection. Extending to support and frame the corners of the light toned genuine marble tabletop are dark cherry finished legs. At home in contemporary to transitional settings, the Festus Collection will be a stylish addition to your home.",occasional
Chama Collection,5469-30,"A complement to the modern or transitional home, the Chama Collection is a unique addition to the overall décor of your home’s living room. Framed in metal with a faux wood veneer top, the circular patterns provide focal accent to the cocktail and end table bases, ultimately lending to the flexibility for placement in a number of casual living room settings",occasional
Sage Collection,5512-31,"Burnished wood tabletops sit atop modern-industrial framing in the Sage Collection. Packaged as a three piece occasional table group, the cocktail and two end tables provide a distinct look as well as the tabletop space you need for your living room.",occasional
Tarantula Collection,5543-30,"These old world Mediterranean styled tables are rich in the heritage look. Featuring in a burnish brown cherry finish and a beveled marble top, the classy look of Tarantula Collection is timeless.",occasional
Jenkins Collection,5553-01,The Jenkins Collection occasional group shows a strong personality with the look of a leather edge banding and etched center motif. Featuring curved metal base and a warm tobacco finish.,occasional
Trammel Collection,5554-30,"The traditional brown mahogany finish and unique shape makes the Trammel Collection a perfect addition to your living room. Serpentine lines form the boxed table tops, each edged with short grain mahogany border. Wheat sheaf carved accents top spiral turned legs while display shelving is supported by traditional bun feet.",occasional
Cavendish Collection,5556-30,Generous curves and a warm cherry finish enhance the traditional look of the Cavendish Collection. Carved egg and dart molding accent the apron and glass insert provides a view onto the display shelves.,occasional
Lockwood Collection,5560-30,"Serpentine lines form the boxed table tops: each crowned with elegant marble and edged with short grain mahogany border. Furthermore, in mahogany finish wheat sheaf carved accents top spiral turned legs while display shelving is supported by traditional bun feet. These unique and graceful features make the Lockwood Collection a perfect addition to your living room.",occasional
Fideo Collection,5606-31,Wood and metal are combined to create the rustic industrial style of the Fideo Collection. Metal framing encircles the profile of the wood-topped cocktail and end tables of this 3-piece occasional collection. Pine veneer is featured in a herringbone pattern and have been given a burnished finish to complement the gray metal frame.,occasional
