name,number,description,category
Raku Collection,1711NC-1*,"Danish mid-century modern design is well exemplified in the Raku Collection serving as stylish addition to your bedroom décor. Two finishes are available- one in two-tone black and gray, the other is a warm walnut finish- over the walnut veneer of the collection. The bed features a wood panel headboard and storage footboard. Each case piece features soft-close mechanisms for quiet and sure closure, elongated pewter-finished hardware and the classic look of tapered leg design.",bedroom
Laurelin Collection,1714BK-1*,"Casual transitional styling lends versatility to the placement of the Laurelin Collection in a number of bedroom settings. Black and White sand-through finishes are available creating distinctly different looks from traditional to country casual, with antiqued bronze knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",bedroom
Laurelin Collection,1714KW-1*,"Casual transitional styling lends versatility to the placement of the Laurelin Collection in a number of bedroom settings. Black and White sand-through finishes are available creating distinctly different looks from traditional to country casual, with antiqued bronze knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",bedroom
Holverson Collection,1715-1*,"Heavily influenced by industrial design, the Holverson Collection will lend a unique look to your personal space. Metal finished framing provides sturdy structure and profile to each piece in this collection. Faux rivets provide additional detail to the metal finished bracketing that is prominently on display. The low profile bed features a horizontal slat design reminiscent of the industrial weathered environment that inspired the design. A rustic brown milk crate finish is utilized to highlight the acacia veneer. The open base nightstand provides drawer storage as well as an open display shelf.",bedroom
Albright Collection,1717-1*,"Refined elegance is exemplified in the design of the Albright Collection. Classic elements of understated traditional design combined with a barnwood gray finish over oak veneer, high polish knob hardware and the light neutral tone of the fabric covered headboard and footboard, blend effortlessly to create a sophisticated modern traditional look for your bedroom. Elongated, tapered turned legs support the case pieces and bed.",bedroom
Begonia Collection,1718GY-1*,"",bedroom
Clematis Collection,1719-1*,"Classic Louis Philippe styling will be a perfect fit for your traditional home with the addition of the Clematis Collection. Button and bale hardware along with hidden drawers in night stand, dresser and chest accent the collection. Cherry veneer is highlighted with a cherry finish lending to the timeless look.",bedroom
Kalette Collection,1721-1*,"Your personal style will be reflected with the addition of the Kalette Collection to your bedroom. Antiqued mirror panels cover the headboard, footboard and drawer fronts of each case piece, highlighting the light oak finish over oak veneer of the collection. Knob hardware provides an unobtrusive break to the clean lines of each case piece.",bedroom
Langsat Collection,1722-1*,"Book-match mindy veneer immediately draws your eye to the transitionally styled Langsat Collection. The versatile brown finish combined knob hardware, bun feet and classic framing make this bedroom group a welcome addition in a number of home styles. Functional hidden drawers are featured in the nightstand and dresser, providing discrete storage space.",bedroom
Aristide Collection,1723-1*,"Offered as an elegant statement to your personal style the Aristide Collection will lend a sophisticated look to your modern bedroom. Updated contemporary design is utilized to create the dramatic look blending a trend-forward gray finish on oak solids and veneers with bold, elongated hardware in a gold finish. The subtle curves of the panel headboard, low profile footboard and rails are covered in a supple, modern light gray fabric.",bedroom
Abutilon Collection,1726-1*,"Traditional design is combined with whimsical accent and functionality in the Abutilon. The heavily carved collection utilizes gold tipping against a dark espresso finish over cherry veneer to highlight the braided molding that graces the pilasters and framing that fronts each drawer. Ring pull and knob hardware also provide dramatic detail to the drawer fronts. Additional storage space is created by the addition of two drawers within the footboard of the bed. A dark brown, bi-cast vinyl, button-tufted headboard insert is exquisitely framed by the elegant curves of the headboard.",bedroom
Norhill Collection,1727N-1*,"Modern lines blend with natural accent to create the look of the Norhill Collection. Wire brushed pine veneer, over pine solids, is enhanced with a gray finish that serves to highlight the light and dark accent of the grain. Rounded legs provide contrast to the clean angles of the collection’s profile. Horizontal hardware is featured in a complementing finish for subtle accent.",bedroom
Hill Creek Collection,1728-1*,The rusticated ambiance of your home calls for the addition of the Hill Creek Collection. The X-framing combined with rough-hewn pine veneers over pine solids and rustic brown finish immediately draw the eye to this unique bedroom group. Functional barn door glides on the dresser front allow for ease of access to behind door storage. Antiqued metal hardware provides additional authenticity to the rustic look of the Hill Creek Collection.,bedroom
Vargehese Collection,1729-1*,"Fashion forward with bold decorative accent, the Vargehese Collection lends an air of elegance to the sophisticated look of your boudoir. A dark charcoal finish enhances the ash veneer of the collection. Case pieces feature step molding on the drawer fronts with gold-finished hardware and inlay-accent framing creating eye-catching drama on each piece in the collection.",bedroom
Cotterill Collection,1730-1*,"With transitional styling that is at home in a number of decorative environments, the Cotterill Collection will be a versatile addition to your bedroom. The two available finishes –gray or cherry- over birch veneer, dramatically enhance the wood grain and is perfectly accented by the nickel hardware that punctuates each drawer front. Depending on your finish choice the headboard will feature either a black or gray bi-cast vinyl insert with x-stitching and button-tufting.",bedroom
Cotterill Collection,1730GY-1*,"With transitional styling that is at home in a number of decorative environments, the Cotterill Collection will be a versatile addition to your bedroom. The two available finishes –gray or cherry- over birch veneer, dramatically enhance the wood grain and is perfectly accented by the nickel hardware that punctuates each drawer front. Depending on your finish choice the headboard will feature either a black or gray bi-cast vinyl insert with x-stitching and button-tufting.",bedroom
Verano Collection,1733-1*,"Appropriate for a number of bedroom designs, the Verano Collection is the perfect permanent canvas for your ever-evolving personal style. The rich espresso finish is delicately accented with discrete brushed nickel knob hardware and stylish framing that carries from the bed to the mirror in this modern transitional set. The pull-out tray on the night stand provides additional space for your bedside needs.",bedroom
Lyric Collection,1737NC-1*,"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix make the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist – satin nickel hardware accents the glossy white or dark espresso or brownish gray finish, bowfront case pieces feature ball bearing drawer glides, and compliment the padded sleigh headboard and footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final unique addition to the collection is the glass-topped night stand that furthers the contemporary feel.",bedroom
Lyric Collection,1737NGY-1*,"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix make the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist – satin nickel hardware accents the glossy white or dark espresso or brownish gray finish, bowfront case pieces feature ball bearing drawer glides, and compliment the padded sleigh headboard and footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final unique addition to the collection is the glass-topped night stand that furthers the contemporary feel.",bedroom
Lyric Collection,1737W-1*,"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix make the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist – satin nickel hardware accents the glossy white or dark espresso or brownish gray finish, bowfront case pieces feature ball bearing drawer glides, and compliment the padded sleigh headboard and footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final unique addition to the collection is the glass-topped night stand that furthers the contemporary feel.",bedroom
Karla Collection,1740-1*,"The Karla Collection takes the refined features of classic lines and creates a modern update of traditional design. Clipped corners and routed pilasters blend the classic lines of the top and base moldings while the antiqued bronze finish hardware, featuring an elegant garland motif with drop ring pull, further accent each case piece. Book-matched veneer accents the headboard and footboard creating a focal point for the collection. Cherry and birch veneers are accentuated in a luxurious brown cherry finish that further exemplifies the traditional feel of this set. Also offering platform bed with footboard storages.",bedroom
Karla Collection,1740PL-1*,"",bedroom
Korlan Collection,1743-1*,"Clean, contemporary styling is a unique feature of the Korlan Collection. The ultra-low profile bed features wide side rails and footboard to achieve a true platform effect. Substantially sized case pieces lend sturdy structure linear shape to the collection. A brown oak finish captures the natural grain pattern of the white oak veneer, lending a unique look to this contemporary bedroom group.",bedroom
Liatris Collection,1744-1*,The expected lines of retro design are given a bold update in the Liatris Collection. Bookmatch acacia veneer is highlighted with a gray undertone that serves to reflect the natural highs and lows of the wood’s grain. The sturdily angled legs are providing a solid support structure to each piece. The ultra-low profile of the bed maintains the sleek look of the collection as does the clean framing of the case goods.,bedroom
Ruote Collection,1745-1*,The cool vibe of mid-century modern design is captured in the Ruote Collection. Everything from the boomerang-contoured headboard of the ultra-low profile bed to the retro silhouette of the case pieces brings to mind an era long past. Elongated horizontal metal hardware lends sleek accent while the brown-gray finish over oak veneer provides warm detail to this modern classic collection.,bedroom
Langston Collection,1746-1*,"An updated take on classic country style, the Langston Collection blends effortlessly into your cozy bedroom. Cannonball finials top the bed posts, while distinct framing adds to the classic design of the bed. Metal knob and bail hardware adorn each case piece, as do rounded pilasters. Further completing the collection is the rich burnished pine finish.",bedroom
Griffon Collection,1752-1*,Rustic industrial styling is beautifully executed in the Griffon Collection. The antique brown finish lends considerable depth to the mindy veneer of the collection as well as to the acacia solid drawer fronts. Accenting the collection are faux staples at the corner joints of each piece. The footboard features functional drawers allowing for additional storage space beyond the traditional case pieces. A dark gray bi-cast vinyl headboard insert is accented with nailhead completing the rustic look.,bedroom
Chesky Collection,1753-1*,"Contemporary design and convenient functionality intersect in the design of the Chesky Collection. Birch veneer is finished in a warm espresso in this unique bedroom offering. Raised panels provide visual interest to the drawer fronts, headboard and footboard. The bookcase headboard provides ample storage and display space as does the storage drawer footboard. Complementing horizontal metal hardware lend additional accent to the case pieces.",bedroom
Libretto Collection,1755-1*,"Utterly feminine from the convex clipped corners of the headboard to the elegant framing of the drawer fronts, the Libretto Collection will be a glamorous addition to your bedroom suite. Crystal tufting adorns the light gray bi-cast vinyl headboard while high-polish hardware glistens against the collection’s silver finish. Additional storage space comes in the form of drawers found on the bed’s footboard.",bedroom
LYER Collection,1756-1*,"Mixing with industrial and rustic design, Lyer collection will be a perfect fit for your transitionally styled bedroom. Wire-brushed acacia veneer reflects depth with the help of a rustic brown finish. Classic framing and contrasting metal hardware create visual interest to this unique collection.",bedroom
Cavalier Collection,1757-1*,"The Cavalier Collection exemplifies the finest in Old World European design inspiration. Egg and dart base moldings, bead molding, acanthus leaf carvings, and genuine marble inset tops all blend to achieve an elegant addition for your traditional home. The grand sleigh bed features a bi-cast vinyl, button-tufted headboard insert. Each of the collection’s beautiful detail is accented by the dark cherry finish on birch veneers with gold highlights",bedroom
Hosta Collection,1758-1,"Inspired by vintage design, ball finials top the canopy frame while prominent decorative jointing and classic quatrefoil pattern lend to the modern traditional look of the Hosta Collection. The built-in platform support allows for the use of a mattress without a box spring. The Hosta collection is offered in twin and queen size bed options for versatile placement within your home.",bedroom
Collection,1759-1,"",bedroom
Collection,1761-1,"",bedroom
Miter Collection,1762-1*,The Miter Collection combines the clean lines of contemporary styling with the look of natural wood grain in this stylish bedroom suite. 3-D printed paper veneer is utilized in both mahogany and ebony to achieve a 2-tone contrasted finish. Dark metal hardware provides additional contrast to the printed wood grain. Drawers are featured on the footboard creating the extra storage space.,bedroom
Barbour Collection,1766-1*,Transitional styling and modern technology are paired to create the Barbour Collection. The framing of the headboard carries over to the design of the low profile footboard and turned-foot supported case pieces. Modern technology comes into play with the power strip – with USB port – charging station that is mounted to the upper back of the night stand. The whitewash finish over oak veneers furthers the classic look of this bedroom collection.,bedroom
Birman Collection,1768-1*,"The beauty of transitional styling is the versatility of placement in a number of environments, and the Birman Collection exemplifies this thought on design perfectly. The dark espresso finish that graces the acacia veneer - over acacia solids - allows the natural highs and lows of the wood grain to shine through. Knob hardware and classic framing boosts the transitional styling of this collection",bedroom
Bracco Collection,1769-1*,"Casual contemporary styling is achieved in the design of the Bracco Collection. Clean line paneling lends to the modern look, while the solid pine wood with a brown finish hints to a rustic aesthetic. Light finished metal horizontal hardware creates distinct contrast to the finish of the collection. The footboard features functional drawers allowing for additional storage space beyond the traditional case pieces.",bedroom
Ingrando Collection,1778-1*,"Reflecting the modern aesthetic that defines your lifestyle, the Ingrando Collection provides a unique platform to create the bedroom of your dreams. Walnut veneer is highlighted by the walnut finish, providing rich coloring to the distinct pattern of the wood’s grain. The headboard is illuminated by a LED backed panel and mirror accent that defines the center profile. Creating additional space to store your personal belongings, beyond the traditional case pieces, is the dual drawer footboard. Horizontal-mounted bronze finish hardware is centered on each drawer front.",bedroom
Gulfton Collection,1779-1*,"The modern profile of the Gulfton Collection paired with the natural look of wood, creates a unique offering for your contemporary bedroom. The walnut veneer with walnut finish is a bold statement to your decorative personality. Bronze finished hardware is mounted horizontally, in contrast to the vertical pattern of the wood’s veneer. The flat panel bed and sleek lines of the case pieces further the modern styling.",bedroom
Fondren Collection,1788-1*,"From the unique design of the shelter headboard to the cleanly defined lines of the case pieces, the Fondren Collection is a study of sophisticated modern design. Beige 100% polyester covers the interior portion of the headboard while heavy framing lends distinct accent to the rails, headboard and footboard storage. Contrasting horizontal hardware is the perfect complement to the dark gray finish that highlights the oak veneer over poplar solids.",bedroom
Robindell Collection,1790-1*,Prominent horizontal framing creates a sturdy profile in the design of the Robindell Collection. Ebony finish is utilized to enhance the grain of the oak and acacia veneer over pine solids. The pull-tab styled hardware is mounted to the drawer fronts following the distinct horizontal lining of the collection. The open concept nightstand features storage drawer and display shelf.,bedroom
Clementine Collection,1799-1*,"With a design as sweet as the name implies, the Clementine Collection will be a bright and classic addition for your bedroom sanctuary. Wooden knob hardware stands boldly against the double bow-fronted case goods while the additional decorative accents of framed bead-board paneling and scalloped base carry over to the design of the turned post headboard and footboard – further enhancing the classic look of this lovely bedroom. The Clementine Collection is offered in youth as well.",bedroom
Lavinia Collection,1806-1*,"A study in modern design and trend forward thinking, the addition of the Lavinia Collection to your home will display your personal preference for contemporary styling. A weathered gray finish has been utilized to enhance the wood veneer of each piece in the collection. Creating a focal design point is the finger pulls that replace the need for hardware on the sleekly designed case pieces – a design feature that carry onto the panel headboard.",bedroom
Bernal Heights Collection,1810-1*,"With hints of modern, industrial and country styling and nod to trend driven design, the Bernal Heights Collection will be a stylish addition to your adult and youth bedrooms. Cup pull hardware is featured prominently on each case piece while nailhead accents serve to enhance the neutral toned fabric headboard and footboard. A dark walnut finish stands out the look of the Bernal Heights Collection.",bedroom
Linnea Collection,1811W-1*,"Ultra-contemporary in design and scale, the Linnea Collection will add modern flair to your bedroom. Finished in high-gloss white, each piece of the suite is accented with a bold contrast of chrome finished feet. The headboard features a white bi-cast vinyl padded insert that is flanked by flat panel framing. Each case piece is highlighted with elongated, chrome-finished hardware.",bedroom
Floresville Collection,1821-1*,"Traditional design and cottage styling intersect in the Floresville Collection. The antique white finish is accented by the dark cherry tops of the case goods, creating a two-tone look that proves to be eye-catching. Turned finials perch atop the round pilaster supports of the platform bed while simultaneously drawing attention to the distinct shape and louvered accent of the headboard. Classic case goods are supported by turned feet also feature cup and knob hardware.",bedroom
Catalonia Collection,1824-1*,"Old-World European styling is captured in the dramatically elegant Catalonia Collection. Traditional design elements reign at every turn – egg and dart molding, acanthus leaf carving, bead molding, gold tipping and extravagant carvings – creating a sophisticated look for your bedroom. Each drawer front features antiqued brass fixed-drop hardware with decorative flourish that furthers the elegant appointments that embellish this collection. A traditional cherry finish is utilized to highlight the cherry veneer of the set and decorative inlay patterns found on the case good tops. Metal scrollwork provides additional visual interest to the headboard, footboard and mirror framing.",bedroom
Chambord Collection,1828-1*,"Modern elegance takes form in the Chambord Collection. Immediately catching your eye is the striking champagne gold finish, an opulent mix of silver and gold hues, elegantly accented by the faux silk fabric and gold brushed hardware that is featured on select pieces of the collection. The serpentine-fronted case pieces are adorned with canted pilasters featuring overlay fretwork, scalloped bases and a delicately splayed cabriole leg. Further lending to the lavish look of the collection is the faux silk rolled, button-tufted bed. The low profile footboard allows for an unrestricted view of the magnificent headboard.",bedroom
Portrero Collection,1831KP-1,"",bedroom
Cranfills Collection,1832-1*,"Providing a bold look with distinct accent and traditional shape, the Cranfills Collection will transform your bedroom. Enlarged crocodile embossing immediately draws your eye to the side paneling of the case goods and the framed headboard of the panel bed. With the pull of a handle, the illusion of multiple drawers is transformed to reveal the unique fronts of the amply appointed functional storage. Additional space to store your personal items comes in the form of the storage footboard. The warm distressed cherry finish completes the look of the Cranfills Collection.",bedroom
Faust Collection,1834-1*,"Modern traditional styling is utilized in the Faust Collection, making it the perfect addition to your bedroom. Traditional bun feet support each piece in the collection, while the dark cherry finish further lends to the look. Dark brown bi-cast vinyl padded inserts on the headboard feature nailhead accent, while the drawer unit of the footboard provides additional storage space. Round and antiqued bronze finished knob hardware adorns each drawer front.",bedroom
Hedy Collection,1839-1*,"Glitz and glamour have been captured perfectly in the design of the Hedy Collection. Over-sized silver finished knob hardware features prominently on each case pieces while the vertical, channel padded, bi-cast vinyl inserts of the headboard are featured in a graphite gray to contrast elegantly against the silver finish and distinct mirrored framing. The cool silver finish features subtle reflective highlights adding a hint of sparkle to this unique collection.",bedroom
Eunice Collection,1844DC-1*,Traditional aesthetic doesn’t always have to be grand in scale or accent to achieve a timeless look. The Eunice Collection takes the form of traditional case pieces and utilizes an espresso finish and understated knob hardware to create bedrooms style that can range from transitional to cottage. Recessed framing carries over from the design of the headboard to the drawer fronts of the case pieces and storage footboard.,bedroom
Alonza Collection,1845-1*,"Adding a bold touch of glamour to your boudoir is the Alonza Collection. Finished in a brilliant white, the embossed alligator board is reflected in the inlay mirrors of the bed and case pieces. The newly available back-lit LED headboard and mirror illuminate with a delicate touch, creating a dazzling glow. Turned feet provide a distinct departure from the linear design of the collection, adding a distinctly feminine flair. Drawer pulls add to the allure of the collection with an inlay crystal and chrome look.",bedroom
Alonza Collection,1845LED-1*,"Adding a bold touch of glamour to your boudoir is the Alonza Collection. Finished in a brilliant white, the embossed alligator board is reflected in the inlay mirrors of the bed and case pieces. The newly available back-lit LED headboard and mirror illuminate with a delicate touch, creating a dazzling glow. Turned feet provide a distinct departure from the linear design of the collection, adding a distinctly feminine flair. Drawer pulls add to the allure of the collection with an inlay crystal and chrome look.",bedroom
Brompton Lane Collection,1847-1*,"Encompassing a full range of traditional design elements, the Brompton Lane Collection will be an exquisite addition to your bedroom. Immediately drawing your eyes are the stately sleigh bed, with its wood framing and dramatically rolled dark brown faux leather button-tufted headboard and footboard. Breakfront case pieces feature ring pull and button &amp; bale hardware, along with the traditional bead and egg , and dart moldings. Cleverly designed within the dresser and night stand are hidden drawers to serve as convenient and subtle storage for your valued possessions. Burl fronts and cherry veneers are elegantly highlighted with a cherry finish furthering the traditional look of the Brompton Lane Collection.",bedroom
Porter Collection,1852-1*,"With an intricate design lending to the modern look of the Porter Collection, your bedroom will reflect your taste for sophisticated contemporary living. A warm walnut finish and the look of woven detailing highlight the natural wood grain of the veneer on each piece of the collection. Knob hardware blends effortlessly to create an unobtrusive accent to the case goods. The bed features framing on the headboard and low-profile footboard that subtly incorporates the prominent woven design.",bedroom
Cullen Collection,1855-1*,"",bedroom
